,HOMO Ranks, HOMO Values,LUMO Ranks,LUMO Values,Wavelength Ranks,Wavelength Values
981,6ed_1b_2ea,-5.3995575690888336,3ed_26b_3ea,-3.1309808065888998,5ed_3b_3ea,456.7608210187179
982,1ed_10b_6ea,-5.399396929398626,10ed_8b_5ea,-3.1312325748564103,10ed_25b_3ea,456.7444440278855
983,7ed_11b_11ea,-5.399010485880516,5ed_20b_9ea,-3.1321336691983803,5ed_21b_2ea,456.7200274925223
984,11ed_12b_11ea,-5.398729366422649,5ed_17b_8ea,-3.1321831993123768,10ed_25b_2ea,456.7130441090267
985,11ed_14b_4ea,-5.39865131903296,7ed_8b_5ea,-3.1336082023954765,6ed_7b_8ea,456.6410767237859
986,10ed_20b_1ea,-5.3974556147808395,5ed_9b_3ea,-3.134160335443643,5ed_10b_3ea,456.61430084880374
987,6ed_24b_6ea,-5.397386157426744,5ed_20b_5ea,-3.134526868141004,5ed_3b_9ea,456.48920096254636
988,11ed_24b_1ea,-5.397353321862077,6ed_22b_10ea,-3.1346268619698474,2ed_21b_5ea,456.3146044204022
989,5ed_24b_11ea,-5.397186368194478,2ed_20b_5ea,-3.1348154547702674,6ed_3b_7ea,456.2193125843285
990,3ed_10b_5ea,-5.3964005979062595,10ed_20b_3ea,-3.1350410575795036,2ed_24b_5ea,456.1773465105988
991,5ed_24b_1ea,-5.396338716604477,5ed_20b_6ea,-3.135443475037768,7ed_13b_5ea,456.1668772639847
992,5ed_24b_3ea,-5.395600178902272,5ed_2b_9ea,-3.136542689835723,2ed_21b_10ea,456.0809019800727
993,6ed_2b_1ea,-5.395223332197462,11ed_12b_8ea,-3.136874271373032,2ed_3b_2ea,456.053728117984
994,11ed_24b_6ea,-5.395070775551205,2ed_7b_8ea,-3.136958752647081,1ed_4b_2ea,456.00611298203705
995,7ed_2b_9ea,-5.394792687234821,3ed_20b_3ea,-3.138150492467078,2ed_7b_8ea,455.96553165690545
996,6ed_25b_6ea,-5.3947431821933955,1ed_20b_2ea,-3.140091743837442,7ed_13b_1ea,455.8320661620357
997,7ed_6b_6ea,-5.394503233038577,9ed_25b_3ea,-3.142273918924772,9ed_24b_11ea,455.76017929685526
998,7ed_11b_2ea,-5.394479490898359,6ed_1b_9ea,-3.1426423188238335,10ed_22b_7ea,455.73718338424146
999,11ed_12b_10ea,-5.394425944334954,2ed_25b_3ea,-3.1428755820869356,5ed_25b_3ea,455.72624840739684
1000,11ed_21b_4ea,-5.393052172229798,6ed_9b_8ea,-3.14312847560236,10ed_7b_8ea,455.62303852650183
