Name,HOMO Donor,LUMO Donor,HOMO Backbone,LUMO Backbone,HOMO Acceptor,LUMO Acceptor,HOMO Anchor,LUMO Anchor
16ed_33b_8ea,20.11,2.84,75.65,89.8,3.59,7.14,,
9ed_29b_8ea,47.1,7.92,44.09,84.65,7.24,7.31,,
1ed_29b_8ea,31.36,5.29,58.71,87.22,9.8,7.46,,
21ed_28b_8ea,10.11,3.61,78.2,89.4,11.33,6.84,,
5ed_29b_8ea,41.73,5.16,49.94,87.18,7.71,7.61,,
13ed_29b_8ea,35.78,7,55.54,85.46,8.55,7.52,,
17ed_29b_8ea,17.22,4.94,71.37,87.31,11.35,7.72,,
16ed_28b_8ea,20.99,6.11,69.26,87.92,9.61,5.88,,
7ed_28b_8ea,16.39,6.13,72.74,88.01,10.48,5.64,,
11ed_29b_8ea,52.15,7.7,39.94,84.79,6.42,7.45,,
7ed_41b_8ea,20.14,4.59,73.52,92.74,5.06,2.22,,
10ed_28b_8ea,26.52,5.26,62.8,87.09,8.86,7.32,,
3ed_28b_8ea,14,5.22,74.87,87.71,10.9,6.86,,
2ed_28b_8ea,18.26,5.28,71.7,87.63,9.91,6.99,,
21ed_41b_8ea,6.89,1.82,85.23,95.22,6.7,2.73,,
13ed_33b_8ea,53.74,3.05,43.9,89.75,1.87,6.97,,
3ed_41b_8ea,16.33,4.13,77.23,93.11,5.42,2.32,,
6ed_41b_8ea,36.02,4.35,59.12,92.81,3.35,2.48,,
5ed_28b_8ea,46.87,5,46.27,87.41,6.12,7.52,,
10ed_41b_8ea,37.3,3.99,56.34,92.95,3.21,2.62,,
14ed_28b_8ea,93.48,3.41,0.8,89.75,0.09,6.79,,
6ed_30b_8ea,31.71,6.13,60.91,87.92,6.68,5.76,,
20ed_41b_8ea,30.67,3.58,60.94,93.21,3.59,2.63,,
9ed_41b_8ea,55.4,5.84,39.96,90.99,2.36,2.89,,
1ed_28b_8ea,34.49,4.45,57.7,87.84,7.65,7.67,,
9ed_28b_8ea,39.54,3.46,55.35,91.3,3.47,5.19,,
6ed_39b_8ea,49.4,3.57,47.56,93.13,1.79,2.93,,
5ed_41b_8ea,58.64,4.06,37.99,93.04,1.95,2.66,,
19ed_28b_8ea,9.3,3.26,79.4,89.92,11.11,6.74,,
7ed_39b_8ea,36.47,2.81,60.18,93.89,2.4,2.88,,
17ed_28b_8ea,18.61,4.28,71.52,88.99,9.79,6.7,,
13ed_28b_8ea,43.27,6.84,49.98,86.64,6.59,6.48,,
7ed_30b_8ea,26.6,5.63,66.14,88.55,6.62,5.6,,
2ed_41b_8ea,30.27,2.96,65.01,94.13,3.82,2.66,,
14ed_41b_8ea,93.66,2.64,0.67,94.43,0.03,2.74,,
16ed_41b_8ea,40.34,3,55.89,94.11,2.99,2.66,,
16ed_30b_8ea,38.41,5.37,56.15,88.64,5.24,5.86,,
10ed_30b_8ea,42.66,4.49,49.7,89.08,4.59,6.15,,
1ed_41b_8ea,48.04,3.57,48.42,93.53,2.74,2.71,,
6ed_36b_8ea,40.87,16.33,41.19,78.01,16.7,5.27,,
20ed_30b_8ea,35.04,3.94,55.09,89.46,5.18,6.17,,
11ed_28b_8ea,56.6,7.24,36.88,85.2,4.8,7.5,,
3ed_39b_8ea,30.13,2.3,66.76,94.41,2.76,2.87,,
5ed_30b_8ea,65.74,4.93,30.22,88.64,2.91,6.37,,
16ed_39b_8ea,57.49,2.98,40.77,93.76,1.43,2.93,,
2ed_30b_8ea,27.02,4.79,66.42,89.18,6.4,5.9,,
2ed_39b_8ea,42.02,2.71,55.59,94.05,2.1,2.92,,
13ed_41b_8ea,56.33,4.57,40.68,92.36,2.26,2.87,,
17ed_41b_8ea,30.63,2.94,64.2,94.11,4.22,2.77,,
11ed_41b_8ea,64.45,5.32,31.69,91.77,1.62,2.68,,
